"source","target","volume","year","source_part_of","kind"
"L00000","L00001","S001",1943,"","same_text"
"L00000","L00002","S001",1943,"","same_text"
"L00001","L00002","S001",1943,"","same_text"
"L00005","L00006","S004",1945,"","same_text"
"L00005","L00007","S004",1945,"","same_text"
"L00005","L00008","S004",1945,"","same_text"
"L00006","L00007","S004",1945,"","same_text"
"L00006","L00008","S004",1945,"","same_text"
"L00007","L00008","S004",1945,"","same_text"
"L00009","L00010","S005",1946,"","same_text"
"L00009","L00011","S005",1946,"","same_text"
"L00010","L00011","S005",1946,"","same_text"
"L00012","L00013","S006",1946,"","same_text"
"L00014","L00015","S007",1946,"","same_text"
"L00014","L00016","S007",1946,"","same_text"
"L00014","L00017","S007",1946,"","same_text"
"L00014","L00018","S007",1946,"","same_text"
"L00014","L00019","S007",1946,"","same_text"
"L00014","L00020","S007",1946,"","same_text"
"L00014","L00021","S007",1946,"","same_text"
"L00015","L00016","S007",1946,"","same_text"
"L00015","L00017","S007",1946,"","same_text"
"L00015","L00018","S007",1946,"","same_text"
"L00015","L00019","S007",1946,"","same_text"
"L00015","L00020","S007",1946,"","same_text"
"L00015","L00021","S007",1946,"","same_text"
"L00016","L00017","S007",1946,"","same_text"
"L00016","L00018","S007",1946,"","same_text"
"L00016","L00019","S007",1946,"","same_text"
"L00016","L00020","S007",1946,"","same_text"
"L00016","L00021","S007",1946,"","same_text"
"L00017","L00018","S007",1946,"","same_text"
"L00017","L00019","S007",1946,"","same_text"
"L00017","L00020","S007",1946,"","same_text"
"L00017","L00021","S007",1946,"","same_text"
"L00018","L00019","S007",1946,"","same_text"
"L00018","L00020","S007",1946,"","same_text"
"L00018","L00021","S007",1946,"","same_text"
"L00019","L00020","S007",1946,"","same_text"
"L00019","L00021","S007",1946,"","same_text"
"L00020","L00021","S007",1946,"","same_text"
"L00022","L00023","S008",1946,"","same_text"
"L00022","L00024","S008",1946,"","same_text"
"L00022","L00025","S008",1946,"","same_text"
"L00022","L00026","S008",1946,"","same_text"
"L00022","L00027","S008",1946,"","same_text"
"L00023","L00024","S008",1946,"","same_text"
"L00023","L00025","S008",1946,"","same_text"
"L00023","L00026","S008",1946,"","same_text"
"L00023","L00027","S008",1946,"","same_text"
"L00024","L00025","S008",1946,"","same_text"
"L00024","L00026","S008",1946,"","same_text"
"L00024","L00027","S008",1946,"","same_text"
"L00025","L00026","S008",1946,"","same_text"
"L00025","L00027","S008",1946,"","same_text"
"L00026","L00027","S008",1946,"","same_text"
"L00029","L00030","S010",1946,"","same_text"
"L00029","L00031","S010",1946,"","same_text"
"L00030","L00031","S010",1946,"","same_text"
"L00032","L00033","S011",1946,"","same_text"
"L00032","L00034","S011",1946,"","same_text"
"L00032","L00035","S011",1946,"","same_text"
"L00032","L00036","S011",1946,"","same_text"
"L00033","L00034","S011",1946,"","same_text"
"L00033","L00035","S011",1946,"","same_text"
"L00033","L00036","S011",1946,"","same_text"
"L00034","L00035","S011",1946,"","same_text"
"L00034","L00036","S011",1946,"","same_text"
"L00035","L00036","S011",1946,"","same_text"
"L00037","L00038","S012",1946,"","same_text"
"L00040","L00041","S014",1947,"","same_text"
"L00040","L00042","S014",1947,"","same_text"
"L00040","L00043","S014",1947,"","same_text"
"L00040","L00044","S014",1947,"","same_text"
"L00040","L00045","S014",1947,"","same_text"
"L00041","L00042","S014",1947,"","same_text"
"L00041","L00043","S014",1947,"","same_text"
"L00041","L00044","S014",1947,"","same_text"
"L00041","L00045","S014",1947,"","same_text"
"L00042","L00043","S014",1947,"","same_text"
"L00042","L00044","S014",1947,"","same_text"
"L00042","L00045","S014",1947,"","same_text"
"L00043","L00044","S014",1947,"","same_text"
"L00043","L00045","S014",1947,"","same_text"
"L00044","L00045","S014",1947,"","same_text"
"L00046","L00047","S015",1947,"","same_text"
"L00046","L00048","S015",1947,"","same_text"
"L00046","L00049","S015",1947,"","same_text"
"L00046","L00050","S015",1947,"","same_text"
"L00047","L00048","S015",1947,"","same_text"
"L00047","L00049","S015",1947,"","same_text"
"L00047","L00050","S015",1947,"","same_text"
"L00048","L00049","S015",1947,"","same_text"
"L00048","L00050","S015",1947,"","same_text"
"L00049","L00050","S015",1947,"","same_text"
"L00051","L00052","S016",1947,"","same_text"
"L00051","L00053","S016",1947,"","same_text"
"L00051","L00054","S016",1947,"","same_text"
"L00051","L00055","S016",1947,"","same_text"
